schemaname,tablename,indexname,indexdef
public,denuncia_clasificaciones,idx_clasif_denuncia,"CREATE INDEX idx_clasif_denuncia ON public.denuncia_clasificaciones USING btree (denuncia_id, vigente)"
public,denuncia_clasificaciones,idx_clasif_req,CREATE INDEX idx_clasif_req ON public.denuncia_clasificaciones USING btree (requerimiento_id)
public,denuncia_evidencias,denuncia_evidencias_pkey,CREATE UNIQUE INDEX denuncia_evidencias_pkey ON public.denuncia_evidencias USING btree (id)
public,denuncia_evidencias,idx_denuncia_evidencias_denuncia_id_fk_32121a,CREATE INDEX idx_denuncia_evidencias_denuncia_id_fk_32121a ON public.denuncia_evidencias USING btree (denuncia_id)
public,denuncia_evidencias,idx_evidencias_denuncia_orden,"CREATE INDEX idx_evidencias_denuncia_orden ON public.denuncia_evidencias USING btree (denuncia_id, orden)"
public,denuncia_historial,denuncia_historial_pkey,CREATE UNIQUE INDEX denuncia_historial_pkey ON public.denuncia_historial USING btree (id)
public,denuncia_historial,idx_denuncia_historial_actor_usuario_id_fk_82cff7,CREATE INDEX idx_denuncia_historial_actor_usuario_id_fk_82cff7 ON public.denuncia_historial USING btree (actor_usuario_id)
public,denuncia_historial,idx_denuncia_historial_denuncia_id_fk_cc79b0,CREATE INDEX idx_denuncia_historial_denuncia_id_fk_cc79b0 ON public.denuncia_historial USING btree (denuncia_id)
public,denuncia_historial,idx_historial_denuncia_fecha,"CREATE INDEX idx_historial_denuncia_fecha ON public.denuncia_historial USING btree (denuncia_id, created_at)"
public,denuncia_observaciones,denuncia_observaciones_pkey,CREATE UNIQUE INDEX denuncia_observaciones_pkey ON public.denuncia_observaciones USING btree (id)
public,denuncia_observaciones,idx_denuncia_observaciones_creado_por_fk_72fb41,CREATE INDEX idx_denuncia_observaciones_creado_por_fk_72fb41 ON public.denuncia_observaciones USING btree (creado_por)
public,denuncia_observaciones,idx_denuncia_observaciones_denuncia_id_fk_bb76db,CREATE INDEX idx_denuncia_observaciones_denuncia_id_fk_bb76db ON public.denuncia_observaciones USING btree (denuncia_id)
public,denuncia_observaciones,idx_obs_denuncia_fecha,"CREATE INDEX idx_obs_denuncia_fecha ON public.denuncia_observaciones USING btree (denuncia_id, created_at)"
public,denuncia_reacciones,denuncia_reacciones_pkey,CREATE UNIQUE INDEX denuncia_reacciones_pkey ON public.denuncia_reacciones USING btree (id)
public,denuncia_reacciones,idx_denuncia_reac_denuncia,CREATE INDEX idx_denuncia_reac_denuncia ON public.denuncia_reacciones USING btree (denuncia_id)
public,denuncia_reacciones,idx_denuncia_reac_usuario,CREATE INDEX idx_denuncia_reac_usuario ON public.denuncia_reacciones USING btree (usuario_id)
public,denuncia_reacciones,ux_denuncia_reac_denuncia_usuario,"CREATE UNIQUE INDEX ux_denuncia_reac_denuncia_usuario ON public.denuncia_reacciones USING btree (denuncia_id, usuario_id)"
public,denuncias,denuncias_folio_key,CREATE UNIQUE INDEX denuncias_folio_key ON public.denuncias USING btree (folio)
public,denuncias,denuncias_pkey,CREATE UNIQUE INDEX denuncias_pkey ON public.denuncias USING btree (id)
public,denuncias,idx_denuncias_ciudadano_id_fk_c055d4,CREATE INDEX idx_denuncias_ciudadano_id_fk_c055d4 ON public.denuncias USING btree (ciudadano_id)
public,denuncias,idx_denuncias_cuadrante,CREATE INDEX idx_denuncias_cuadrante ON public.denuncias USING btree (cuadrante_id)
public,denuncias,idx_denuncias_estado,CREATE INDEX idx_denuncias_estado ON public.denuncias USING btree (estado_id)
public,denuncias,idx_denuncias_fecha,CREATE INDEX idx_denuncias_fecha ON public.denuncias USING btree (fecha_creacion DESC)
public,denuncias,idx_denuncias_id_consentir,"CREATE INDEX idx_denuncias_id_consentir ON public.denuncias USING btree (id, consentir_publicacion)"
public,estados_denuncia,estados_denuncia_nombre_publico_key,CREATE UNIQUE INDEX estados_denuncia_nombre_publico_key ON public.estados_denuncia USING btree (nombre)
public,estados_denuncia,estados_denuncia_pkey,CREATE UNIQUE INDEX estados_denuncia_pkey ON public.estados_denuncia USING btree (id)
public,evento_turno_tipo,evento_turno_tipo_codigo_key,CREATE UNIQUE INDEX evento_turno_tipo_codigo_key ON public.evento_turno_tipo USING btree (codigo)
public,evento_turno_tipo,evento_turno_tipo_pkey,CREATE UNIQUE INDEX evento_turno_tipo_pkey ON public.evento_turno_tipo USING btree (id)
public,eventos_turno,eventos_turno_pkey,CREATE UNIQUE INDEX eventos_turno_pkey ON public.eventos_turno USING btree (id)
